"slug","canonical_key","title","starts_at","ends_at","location_name","address","city","url","image_url","category","audience","price","status","source","source_id","source_url","dedupe_key","description","tags","accessibility","raw_categories","raw_target_audience","raw_accessibility","latitude","longitude","venue_url","venue_contact","venue_extra_info","venue_schedule","venue_category","venue_district","venue_accessibility","venue_tags"
"octopus-festival-ericeira","octopus-festival-ericeira","Octopus Festival | Ericeira","2026-05-01T00:00:00Z","2026-05-31T00:00:00Z","","","Ericeira","https://www.visitlisboa.com/en/events/octopus-festival-ericeira","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzY2NDcsInB1ciI6ImJsb2JfaWQifX0=--29aeb793c9de6941c058a7df4a8bc810e5062d95/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiIxMjAweDEyMDBcdTAwM2UifSwicHVyIjoidmFyaWF0aW9uIn19--19d67177a9879edd8f885ce80c29da2d57a5e00e/gen-visit-lisboa-festival-do-polvo.jpg","Others","","","approved","visitlisboa","en/events/octopus-festival-ericeira","https://www.visitlisboa.com/en/events","8ec516d501be1da5153e7144a6ab97300c02c394","","","","","","","","","","","","","","","",""
"laaf-lisbon-art-antiques-fair-2","laaf-lisbon-art-and-antiques-fair-26","LAAF - Lisbon Art & Antiques Fair'26","2026-05-01T00:00:00Z","2026-05-31T00:00:00Z","Cordoaria Nacional","Avenida da Índia 1300-299 Lisboa","Lisbon","https://www.visitlisboa.com/en/events/laaf-lisbon-art-antiques-fair-2","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6Mjk3NTgsInB1ciI6ImJsb2JfaWQifX0=--de7dba3cd5b103126a1b9411678404551f998b97/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiIxMjAweDEyMDBcdTAwM2UifSwicHVyIjoidmFyaWF0aW9uIn19--19d67177a9879edd8f885ce80c29da2d57a5e00e/2025-LAAF-x-sem-data.jpg","Exhibitions","","","approved","visitlisboa","en/events/laaf-lisbon-art-antiques-fair-2","https://www.visitlisboa.com/en/events","7380cb1abee51c2cf5fc124d896082889623b80e","","","","","","","","","","","","","","","",""
"feira-da-luz-2","feira-da-luz","Feira da Luz","2026-08-01T00:00:00Z","2026-08-31T00:00:00Z","Largo da Luz","Largo da Luz, 1600-000, Lisboa","Lisbon","https://www.visitlisboa.com/en/events/feira-da-luz-2","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzU2MjMsInB1ciI6ImJsb2JfaWQifX0=--c818eb952c67ca098a9af9561e14261c94641c0e/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiIxMjAweDEyMDBcdTAwM2UifSwicHVyIjoidmFyaWF0aW9uIn19--19d67177a9879edd8f885ce80c29da2d57a5e00e/2026-Feira-da-luz.jpg","Fairs","","Free Entry","approved","visitlisboa","en/events/feira-da-luz-2","https://www.visitlisboa.com/en/events","cf2e20051dfb4ac26ce13a38861770e78adede95","","","","","","","","","","","","","","","",""
"alkantara-festival-2","alkantara-festival-26","Alkantara Festival'26","2026-12-01T00:00:00Z","2026-12-24T00:00:00Z","","","Lisbon","https://alkantara.pt/en/info/venues/","https://alkantara.pt/site/assets/files/1/alkantara.1200x630n.jpeg","Main Events","","","approved","visitlisboa","en/events/alkantara-festival-2","https://www.visitlisboa.com/en/events","0b1fad2c349222fc321b009892595f5cc9171ef7","","","","","","","","","","","","","","","",""
