"slug","canonical_key","title","starts_at","ends_at","location_name","address","city","url","image_url","category","audience","price","status","source","source_id","source_url","dedupe_key","description","tags","accessibility","raw_categories","raw_target_audience","raw_accessibility","latitude","longitude","venue_url","venue_contact","venue_extra_info","venue_schedule","venue_category","venue_district","venue_accessibility","venue_tags"
"brunch-electronik-lisboa-l","brunch-electronik-lisboa-26","Brunch Electronik Lisboa'26","2026-07-01T00:00:00Z","2026-07-31T00:00:00Z","Tapada da Ajuda - Lagoa Branca","Tapada da Ajuda, 1349-017, Lisboa","Lisbon","https://www.visitlisboa.com/en/events/brunch-electronik-lisboa-l","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzAyNjQsInB1ciI6ImJsb2JfaWQifX0=--b90c26d6a7e33a1d66d3bb5ac11bf40dd592815d/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiIxMjAweDEyMDBcdTAwM2UifSwicHVyIjoidmFyaWF0aW9uIn19--19d67177a9879edd8f885ce80c29da2d57a5e00e/GEN25-brunch-eletronik.jpg","Music","","","approved","visitlisboa","en/events/brunch-electronik-lisboa-l","https://www.visitlisboa.com/en/events","0f70553d2cad611112bf5a83848827cf395ffb7d","","","","","","","","","","","","","","","",""
"feira-da-luz-2","feira-da-luz","Feira da Luz","2026-08-01T00:00:00Z","2026-08-31T00:00:00Z","Largo da Luz","Largo da Luz, 1600-000, Lisboa","Lisbon","https://www.visitlisboa.com/en/events/feira-da-luz-2","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzU2MjMsInB1ciI6ImJsb2JfaWQifX0=--c818eb952c67ca098a9af9561e14261c94641c0e/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiIxMjAweDEyMDBcdTAwM2UifSwicHVyIjoidmFyaWF0aW9uIn19--19d67177a9879edd8f885ce80c29da2d57a5e00e/2026-Feira-da-luz.jpg","Fairs","","Free Entry","approved","visitlisboa","en/events/feira-da-luz-2","https://www.visitlisboa.com/en/events","cf2e20051dfb4ac26ce13a38861770e78adede95","","","","","","","","","","","","","","","",""
"apa-s-autumn-fair-art-and-antiques","apa-s-autumn-fair-art-and-antiques","APA's Autumn Fair - Art and Antiques","2026-11-01T00:00:00Z","2026-11-30T00:00:00Z","Sociedade Nacional de Belas Artes","R. Barata Salgueiro, 36, 1250-044, Lisboa","Lisbon","https://www.visitlisboa.com/en/events/apa-s-autumn-fair-art-and-antiques","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzM2NjgsInB1ciI6ImJsb2JfaWQifX0=--1794b78d548285c8ad3fe6ae24a0cfdde2d53e0d/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiIxMjAweDEyMDBcdTAwM2UifSwicHVyIjoidmFyaWF0aW9uIn19--19d67177a9879edd8f885ce80c29da2d57a5e00e/GEN25_APA.jpg","Fairs","","","approved","visitlisboa","en/events/apa-s-autumn-fair-art-and-antiques","https://www.visitlisboa.com/en/events","ad075d9ca0f356dc9b2195bdc7cca7f78022c54a","","","","","","","","","","","","","","","",""
"alkantara-festival-2","alkantara-festival-26","Alkantara Festival'26","2026-12-01T00:00:00Z","2026-12-24T00:00:00Z","","","Lisbon","https://alkantara.pt/en/info/venues/","https://alkantara.pt/site/assets/files/1/alkantara.1200x630n.jpeg","Main Events","","","approved","visitlisboa","en/events/alkantara-festival-2","https://www.visitlisboa.com/en/events","0b1fad2c349222fc321b009892595f5cc9171ef7","","","","","","","","","","","","","","","",""
