"title","starts_at","ends_at","date_text","location_name","address","city","url","image_url","category","audience","price","status","source","source_id","source_url","source_evidence_path","dedupe_key","possible_duplicate_of"
"An iconic seafood restaurant in Lisbon is the most booked restaurant in Portugal in 2025 — and the capital dominates The Fork’s Top 50.","","","2026-02-26T13:09:43+00:00","","","","https://lisboasecreta.co/en/most-booked-restaurants-portugal-the-fork/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/02/26125742/restaurantes-mais-reservados.jpg","","","","approved","lisboa_secreta","most-booked-restaurants-portugal-the-fork","https://lisboasecreta.co/en/most-booked-restaurants-portugal-the-fork/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/most-booked-restaurants-portugal-the-fork.html","07f996e700ea7b14f17f08d3eb1852331c442294",""
"Less crowding, more respect: the Madrid Metro has declared war on backpacks. Will Lisbon be next?","","","2026-02-25T12:33:18+00:00","","","","https://lisboasecreta.co/en/backpacks-subway-public-transport-lisbon/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/02/25120252/mochilas-as-costas-dentro-das-carruagens-do-metro-%40shojol-islam-%40ummano-dias.jpg","","","","approved","lisboa_secreta","backpacks-subway-public-transport-lisbon","https://lisboasecreta.co/en/backpacks-subway-public-transport-lisbon/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/backpacks-subway-public-transport-lisbon.html","606e8f88b1a2eaf3d05c867e12130da5a5682787",""
"Music guide: the best concerts already confirmed for 2026","","","2026-03-04T11:02:21+00:00","","","","https://lisboasecreta.co/en/music-concerts-in-lisbon/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2022/02/08092637/Estu%CC%81dio-Time-Out-recebe-concertos-tributo-a-Queen-e-Pearl-Jam-%40spencer-davis.jpg","","","","approved","lisboa_secreta","music-concerts-in-lisbon","https://lisboasecreta.co/en/music-concerts-in-lisbon/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/music-concerts-in-lisbon.html","d2aab4ca3ba41e2a50596a3e86f12a4269cafcd6",""
"Lisbon is blooming: your guide to an unforgettable weekend","","","2026-03-05T16:43:57+00:00","","","","https://lisboasecreta.co/en/what-to-do-in-lisbon-weekend/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2021/11/05112735/pessoas-a-passear-em-lisboa-fim-de-semana-%40fotios-photos.jpeg","","","","approved","lisboa_secreta","what-to-do-in-lisbon-weekend","https://lisboasecreta.co/en/what-to-do-in-lisbon-weekend/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/what-to-do-in-lisbon-weekend.html","93b77153a33948e343000b4c9704082be8b5489f",""
"Goodbye, winter: from this date onwards, you will sleep one hour less, but spend more time in the sun in Lisbon.","","","2026-03-05T12:17:03+00:00","","","","https://lisboasecreta.co/en/change-to-daylight-saving-time/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/05120612/horario-de-verao-generica.jpg","","","","approved","lisboa_secreta","change-to-daylight-saving-time","https://lisboasecreta.co/en/change-to-daylight-saving-time/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/change-to-daylight-saving-time.html","d7dfa5516befd8d969d1514d73c6e1013c4855e3",""
"Rock in Rio “traveled” to Madrid to present the latest Spanish headliner","","","2026-03-04T16:47:09+00:00","","","","https://lisboasecreta.co/en/rock-in-rio-lisbon-2026-line-up/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2025/10/04164133/cartaz-do-rock-in-rio-lisboa-2026-%40rockinriolisboa-%40lolaindigo.jpg","","","","approved","lisboa_secreta","rock-in-rio-lisbon-2026-line-up","https://lisboasecreta.co/en/rock-in-rio-lisbon-2026-line-up/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/rock-in-rio-lisbon-2026-line-up.html","dd208dc466fb51772af0f5462b4d96cfaaa84195",""
"One of the most memorable plans for 2026 is located in the heart of Lisbon: classical music and thousands of candles in stunning locations.","","","2026-03-04T15:00:45+00:00","","","","https://lisboasecreta.co/en/candlelight-concert-lisboa-en/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2022/02/14180859/2025_05_24_Museu-Do-Amanha_RIO-DE-JANEIRO_BR_01_ctd8bu-lowersize_V2.jpg","","","","approved","lisboa_secreta","candlelight-concert-lisboa-en","https://lisboasecreta.co/en/candlelight-concert-lisboa-en/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/candlelight-concert-lisboa-en.html","c89f91b27c94eed4bcfafea543e3fe8b7f5b3adb",""
"From the “Roaring Twenties” to the future of Lisbon: a series of free talks that unveil the mysteries of Avenida da Liberdade","","","2026-03-04T12:33:19+00:00","","","","https://lisboasecreta.co/en/conversations-avenida-convida/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/04123109/conversas-no-evento-Avenida-Convida-na-Avenida-da-Liberdade.jpg","","","","approved","lisboa_secreta","conversations-avenida-convida","https://lisboasecreta.co/en/conversations-avenida-convida/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/conversations-avenida-convida.html","7d25cc583359e5b27ad6b74bb88e324847707932",""
"This is Portugal’s “It City”: Lisbon shines among the top 15 in Europe in a report that evaluated more than 100 metropolitan areas.","","","2026-03-03T17:50:19+00:00","","","","https://lisboasecreta.co/en/top-100-cities-in-europe-2026-resonance/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/03165958/lisboa-generica.jpg","","","","approved","lisboa_secreta","top-100-cities-in-europe-2026-resonance","https://lisboasecreta.co/en/top-100-cities-in-europe-2026-resonance/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/top-100-cities-in-europe-2026-resonance.html","658cd5f01ffbe4df22b7adcdb2ba9ed20864066e",""
"What women would most like to receive on Women’s Day, according to our readers","","","2026-03-03T16:51:47+00:00","","","","https://lisboasecreta.co/en/gifts-women-would-like-for-womens-day/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2023/03/08083400/t-shirt-sobre-o-dia-da-mulher-%40chelsi-peter.jpg","","","","approved","lisboa_secreta","gifts-women-would-like-for-womens-day","https://lisboasecreta.co/en/gifts-women-would-like-for-womens-day/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/gifts-women-would-like-for-womens-day.html","e6ce5c93db90a0303c52c3f3d18450f570f6e3cd",""
"Lisbon’s historic transport system to reopen after months of auditing: find out what will change on the Graça Funicular","","","2026-03-03T14:34:25+00:00","","","","https://lisboasecreta.co/en/graca-funicular-to-reopen-in-april/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/03135205/inauguracao-do-funicular-da-graca-%C2%A9-CML-Ana-Luisa-Alvim.jpg","","","","approved","lisboa_secreta","graca-funicular-to-reopen-in-april","https://lisboasecreta.co/en/graca-funicular-to-reopen-in-april/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/graca-funicular-to-reopen-in-april.html","7f3a014e9c11c3795d4fba58f17e310c825e7b0f",""
"Unique light and renowned cuisine: the reasons that make Lisbon one of the ten best European destinations in 2026","","","2026-02-25T15:34:31+00:00","","","","https://lisboasecreta.co/en/lisbon-best-european-destinations-2026-en/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/02/25152053/lisboa-melhores-destinos-europeuss-2026.jpg","","","","approved","lisboa_secreta","lisbon-best-european-destinations-2026-en","https://lisboasecreta.co/en/lisbon-best-european-destinations-2026-en/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/lisbon-best-european-destinations-2026-en.html","2e032cd3765901727d0c409c51030dd8939f16e4",""
"Madrid and Lisbon closer: a €24 million bridge over the River Sever will revolutionize the border and save 85 km of travel","","","2026-02-23T21:14:45+00:00","","","","https://lisboasecreta.co/en/new-international-bridge-reduce-travel-lisbon-madrid/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/02/23210333/nova-ponte-internacional.jpg","","","","approved","lisboa_secreta","new-international-bridge-reduce-travel-lisbon-madrid","https://lisboasecreta.co/en/new-international-bridge-reduce-travel-lisbon-madrid/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/new-international-bridge-reduce-travel-lisbon-madrid.html","d284608d7ac27e4ab97a0f263475ab9b972110cf",""
"Time travel in Lisbon: 13 essential stops among medieval ruins and masterpieces of national engineering","","","2026-02-24T18:35:20+00:00","","","","https://lisboasecreta.co/en/the-best-lisbon-monuments/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2022/03/06104819/mosteiro-dos-jeronimos-foto.jpg","","","","approved","lisboa_secreta","the-best-lisbon-monuments","https://lisboasecreta.co/en/the-best-lisbon-monuments/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/the-best-lisbon-monuments.html","770fc4c76c8a9a3ef36818d22bc4612e353e1e7d",""
"Lisbon’s ‘green lung’ is a National Monument and an exotic refuge with more than 600 plants from (almost) all over the world.","","","2026-02-24T17:41:58+00:00","","","","https://lisboasecreta.co/en/tropical-botanical-garden-belem/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/02/24172012/jardim-botanico-tropical-cover.jpg","","","","approved","lisboa_secreta","tropical-botanical-garden-belem","https://lisboasecreta.co/en/tropical-botanical-garden-belem/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/tropical-botanical-garden-belem.html","02a53b6c2da350c1e5f4713218d9a6f415c2a903",""
"The jewel of Lisbon where princesses get married: this Basilica has a hidden viewpoint with incredible views and is a National Monument.","","","2026-02-19T17:39:16+00:00","","","","https://lisboasecreta.co/en/history-basilica-da-estrela-monument/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/02/18172548/basilica-da-estrela-cover.jpg","","","","approved","lisboa_secreta","history-basilica-da-estrela-monument","https://lisboasecreta.co/en/history-basilica-da-estrela-monument/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/history-basilica-da-estrela-monument.html","8c6c0a765b6b38c1e4d6395ca3739a0fe393ebba",""
"The famous sandwich that originated in New York and is conquering Lisbon: it has an irresistible flavor and aroma.","","","2026-02-19T12:28:32+00:00","","","","https://lisboasecreta.co/en/pastrami-sandwiches-in-lisbon/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2024/02/15165712/pessoa-a-comer-uma-sandes-de-pastrami-no-lets-pastrami-%40letspastrami-_1.jpeg","","","","approved","lisboa_secreta","pastrami-sandwiches-in-lisbon","https://lisboasecreta.co/en/pastrami-sandwiches-in-lisbon/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/pastrami-sandwiches-in-lisbon.html","f6719999a8a05764426c43fcbba908b074641039",""
"About Lisboa Secreta - Lisboa Secreta","","","","","","","https://lisboasecreta.co/en/about-us/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2022/08/08085822/sobre-nos-lisboa-secreta.jpg","","","","approved","lisboa_secreta","about-us","https://lisboasecreta.co/en/about-us/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/about-us.html","b40e484d5a2e43ae1412d600dc86b21355ceb62d",""
