"slug","canonical_key","title","starts_at","ends_at","location_name","address","city","url","image_url","category","audience","price","status","source","source_id","source_url","dedupe_key","description","tags","accessibility","raw_categories","raw_target_audience","raw_accessibility","latitude","longitude","venue_url","venue_contact","venue_extra_info","venue_schedule","venue_category","venue_district","venue_accessibility","venue_tags","rescue_reason"
"lisboa-secreta-what-to-do-in-lisbon-weekend","lisbon-is-buzzing-this-weekend-must-see-events-some-free-from-march-13-to-15","Lisbon is buzzing this weekend: must-see events (some free) from March 13 to 15","","","","","Lisbon","https://lisboasecreta.co/en/what-to-do-in-lisbon-weekend/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2021/11/13113835/mulher-num-miradouro-em-lisboa-fim-de-semana-%40paulo-evangelista.jpeg","","","","approved","lisboa_secreta","what-to-do-in-lisbon-weekend","https://lisboasecreta.co/en/what-to-do-in-lisbon-weekend/","256c8202950f1a7f74e275913c8181ab32effce8","Here are our suggestions for things to do in Lisbon this weekend, whether you’re alone, with your significant other, with friends, or with family.","","","","","","","","","","","","","","","","editorial_skip"
"lisboa-secreta-music-concerts-in-lisbon","music-guide-the-best-concerts-already-confirmed-for-2026","Music Guide: The Best Concerts Already Confirmed for 2026","","","","","Lisbon","https://lisboasecreta.co/en/music-concerts-in-lisbon/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2022/02/08092637/Estu%CC%81dio-Time-Out-recebe-concertos-tributo-a-Queen-e-Pearl-Jam-%40spencer-davis.jpg","","","","approved","lisboa_secreta","music-concerts-in-lisbon","https://lisboasecreta.co/en/music-concerts-in-lisbon/","95524b144477904657b897a12f5728697a1de69a","The year 2026 will bring some of your favorite bands and artists to Lisbon. These are the music concerts in Lisbon that have already been confirmed!","","","","","","","","","","","","","","","","editorial_skip"
"lisboa-secreta-nos-alive-2026-music-festival","all-confirmations-for-nos-alive-2026-so-far","All confirmations for NOS Alive 2026 (so far)","","","","","Lisbon","https://lisboasecreta.co/en/nos-alive-2026-music-festival/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2023/11/15135755/pessoas-no-festival-de-musica-nos-alive-%40nos_alive-_1.jpg","","","","approved","lisboa_secreta","nos-alive-2026-music-festival","https://lisboasecreta.co/en/nos-alive-2026-music-festival/","69f8cf93f5f57f31d4eb5c7788e9a367f4815b84","The festival returns to the Algés Promenade with a lineup that blends rock legends, electronic sounds, and major international voices.","","","","","","","","","","","","","","","","editorial_skip"
